Domain,Score,Orientation,Occorrenze,Views,Forwards
tuckercarlson.com,17.5,Right,1997,34272176,534492
swentr.site,20.0,,1991,285067,1785
qalerts.app,17.5,Right,1959,3608362,62163
trendingpoliticsnews.com,39.5,Right,1942,5924494,79068
weforum.org,82.5,,1915,8981274,310856
informationliberation.com,39.5,Right,1902,2551405,35339
scmp.com,85.0,,1882,3789340,25291
frankspeech.com,15.0,Right,1833,15174199,87490
en.irna.ir,7.5,,1814,1479133,4536
nzherald.co.nz,100.0,,1813,1649841,20528
wired.com,92.5,,1797,1976686,22952
ktla.com,87.5,,1784,1670805,16905
revolver.news,7.5,Right,1771,7100041,58102
rollingstone.com,87.5,Left,1752,1496669,13081
military.com,100.0,,1737,6535817,89355
dailysignal.com,69.5,Right,1725,1096620,10248
latimes.com,100.0,,1711,5198328,60171
journalistenwatch.com,7.5,Right,1672,2499300,29780
sputnikglobe.com,17.5,Right,1662,1176940,8833
welt.de,100.0,,1653,9897880,160255
conservative-daily.com,7.5,Right,1649,1390230,6443
ria.ru,12.5,,1617,3357647,21034
mediaite.com,95.0,,1616,6608439,35664
strategic-culture.su,12.5,,1603,2682317,27316
who.int,90.0,,1602,4112396,53196
foxbusiness.com,69.5,Right,1551,4540666,64721
cointelegraph.com,69.5,,1544,3548138,16518
newstarget.com,5.0,Right,1529,9709975,147235
georgiarecord.com,12.5,Right,1505,5213431,48019
nationalpost.com,92.5,,1500,7128376,82960
globalnews.ca,100.0,,1499,1658416,15330
n-tv.de,95.0,,1495,6549191,68996
theblaze.com,35.0,Right,1474,2597541,19221
bnnbreaking.com,12.5,,1410,4615710,25319
britannica.com,87.5,,1395,639966,4304
thedailybeast.com,87.5,Left,1377,1999563,12628
the-sun.com,69.5,Right,1349,1133922,12074
economist.com,100.0,,1330,3018541,18128
time.com,100.0,,1323,2447383,17318
epochtimes.de,27.5,Right,1322,6123919,118179
realrawnews.com,7.5,Right,1320,3502262,55741
propublica.org,100.0,,1317,141837,463
usnews.com,100.0,,1314,2470141,16983
heraldscotland.com,100.0,,1307,1560521,9451
theatlantic.com,100.0,,1293,2895393,28662
france24.com,100.0,,1283,3001369,12646
technologyreview.com,92.5,,1276,250078,2587
smh.com.au,80.0,,1238,1501070,30193
reitschuster.de,37.5,Right,1224,8361944,129901
pbs.org,100.0,,1221,1153139,8857
rnz.co.nz,95.0,,1220,717472,7772
barrons.com,100.0,,1212,3288949,15659
itv.com,77.5,,1196,1214998,11824
9news.com.au,100.0,,1193,1685446,18769
rte.ie,87.5,,1181,1075136,5091
thefreethoughtproject.com,34.5,,1164,1094330,11473
birminghammail.co.uk,100.0,,1162,1011041,9360
variety.com,100.0,,1155,3085896,28395
arstechnica.com,100.0,,1153,794705,6917
conservativebrief.com,82.0,Right,1095,1079377,3930
americaoutloud.news,25.0,Right,1085,841227,4926
indianexpress.com,90.0,,1075,543741,6615
fox5atlanta.com,82.5,,1071,2768488,27741
globalresearch.ca,17.5,,1064,2985285,77408
ajc.com,100.0,,1054,7829940,60590
dailyrecord.co.uk,87.5,Left,1051,871835,7418
thenation.com,92.5,Left,1051,585784,4243
sfgate.com,100.0,,1040,822076,11315
rebelnews.com,47.0,Right,1038,956325,9271
spiegel.de,100.0,,1035,9701826,142295
joehoft.com,17.5,Right,1025,2218748,16173
cdc.gov,100.0,,1022,8096398,446284
newsmax.com,20.0,Right,1021,2708856,25463
hollywoodreporter.com,95.0,,1021,1879921,15728
dailystar.co.uk,69.5,,1017,2012918,19391
kentonline.co.uk,100.0,,1014,380483,3533
metro.co.uk,100.0,,997,1174904,11682
ukcolumn.org,35.0,,995,1936375,27070
irishtimes.com,100.0,Left,969,1415915,12172
eadaily.com,12.5,,964,4854014,13065
science.org,100.0,,959,774356,15256
manchestereveningnews.co.uk,100.0,,956,722770,4406
theintercept.com,80.0,,952,2603520,37211
euronews.com,69.5,,935,1957270,14908
tsarizm.com,25.0,Right,922,715955,1240
byoblu.com,25.0,Right,920,7973093,12239
dailysceptic.org,37.5,,917,2212194,34145
sbs.com.au,95.0,,910,3271447,56482
kansascity.com,92.5,,909,351868,3664
heise.de,100.0,,907,2543511,31434
foxla.com,92.5,,905,1169857,13419
newrepublic.com,92.5,Left,905,214443,1178
vanityfair.com,72.5,,901,2385929,13574
jsonline.com,100.0,,897,716274,4734
warroom.org,10.0,Right,896,3888269,20946
local10.com,100.0,,890,786199,8044
worldcouncilforhealth.org,25.0,,887,4819622,64696
lbc.co.uk,87.5,,883,993463,8572
patch.com,100.0,,876,1784083,40205
zeit.de,100.0,,870,3883345,51104
news.stv.tv,87.5,,868,2066157,3607
mol.im,69.5,Right,867,3312192,33106
aol.com,75.0,,864,662567,4542
en.interaffairs.ru,32.5,,864,26653,86
azfreenews.com,57.0,Right,863,197355,2326
sltrib.com,100.0,,861,152478,1956
phys.org,100.0,,857,882276,10483
20min.ch,100.0,,851,6504843,138532
beforeitsnews.com,0.0,Right,845,2365275,36874
nationalfile.com,10.0,Right,844,1091293,10143
abc7.com,95.0,,830,1873003,17678
scottishdailyexpress.co.uk,87.5,,830,754993,7288
newsnationnow.com,100.0,,829,1538679,9193
people.com,100.0,,828,825963,9702
fox5dc.com,90.0,,828,2821720,29271
fox26houston.com,75.0,,804,1377163,14035
liverpoolecho.co.uk,100.0,,800,385575,3136
belfastlive.co.uk,100.0,,798,309936,2074
icandecide.org,12.5,,796,1917549,56343
english.almayadeen.net,30.0,,795,1154868,8080
denver7.com,100.0,,792,225351,2019
semafor.com,92.5,,789,3416199,26266
huffpost.com,87.5,Left,783,390378,2784
walesonline.co.uk,100.0,,783,716983,3724
mondoweiss.net,80.0,Left,778,360384,3397
