Id,Label,type,degree,closnesscentrality,betweenesscentrality,Authority,eigencentrality
1518196801,,User,1,0.318441,0,0.00258,0.005613
1623784228,,User,1,0.318441,0,0.00258,0.005613
7521191902,,User,1,0.265331,0,0.000309,0.000552
6972360165,,User,3,0.314511,0,0.002612,0.006377
5930620092,,User,4,0.327545,0,0.004884,0.012065
1901119506,,User,1,0.318441,0,0.00258,0.005613
5706990232,,User,1,0.318441,0,0.00258,0.005613
6281587309,,User,1,0.268381,0,0.000385,0.00089
1615912697,,User,1,0.297601,0,0.001126,0.002042
1578758898,,User,2,0.305347,0,0.002064,0.003747
1908918251,,User,2,0.252012,0,0.000125,0.000504
1941566466,,User,1,0.295872,0,0.000992,0.001735
1692894405,,User,1,0.295872,0,0.000992,0.001735
872243436,,User,2,0.312991,0,0.001282,0.003626
1556611413,,User,1,0.291929,0,0.000549,0.00138
1598483466,,User,3,0.325187,0,0.004732,0.01013
1527986905,,User,1,0.301123,0,0.001251,0.003028
1636504327,,User,1,0.301123,0,0.001251,0.003028
1590016603,,User,1,0.242439,0,0.00003,0.000176
EpochTimesAU,,Channel,14,0.320023,382547.5,0.002336,0.007218
1705433156,,User,1,0.242439,0,0.00003,0.000176
1782094546,,User,1,0.298882,0,0.001034,0.001888
1537177321,,User,2,0.305326,0,0.002026,0.003623
6310617745,,User,4,0.331235,0,0.008205,0.015645
1293658408,,User,1,0.666667,0,0,0.000113
1526292670,,User,1,0.31242,0,0.001171,0.003234
1111485340,,User,1,0.31242,0,0.001171,0.003234
1540797842,,User,1,0.31242,0,0.001171,0.003234
2068608797,,User,1,0.303352,0,0.001062,0.002563
6254919774,,User,2,0.322561,0,0.003585,0.01009
287344025,,User,1,0.6,0,0,0.000114
irelandasinrepublicofireland,,Channel,3,1,3,0,0.000332
708796949,,User,1,0.6,0,0,0.000114
1176005901,,User,1,0.6,0,0,0.000114
1865689965,,User,2,0.32516,0,0.003445,0.007919
1445661456,,User,1,0.303617,0,0.000864,0.002305
1674205092,,User,1,0.286183,0,0.000631,0.00111
1752070691,,User,1,0.286183,0,0.000631,0.00111
1550609630,,User,1,0.319682,0,0.002523,0.007527
6159559483,,User,1,0.311958,0,0.001426,0.003394
1638743129,,User,1,0.256986,0,0.000187,0.000715
6406228314,,User,2,0.267376,0,0.000368,0.001216
751473679,,User,1,0.31242,0,0.001171,0.003234
5510932105,,User,1,0.301123,0,0.001251,0.003028
1577007704,,User,1,0.301123,0,0.001251,0.003028
1517740462,,User,2,0.322995,0,0.003734,0.009938
5504016700,,User,1,0.321701,0,0.003096,0.006674
1681648219,,User,1,0.302756,0,0.001211,0.002411
1196422846,,User,1,0.303617,0,0.000864,0.002305
5551009465,,User,2,0.325485,0,0.004513,0.009663
1861405095,,User,1,0.302756,0,0.001211,0.002411
1662566506,,User,1,0.302756,0,0.001211,0.002411
7420922218,,User,1,0.298828,0,0.000697,0.002268
1437049104,,User,1,0.321701,0,0.003096,0.006674
1594251994,,User,1,0.301123,0,0.001251,0.003028
1559664650,,User,1,0.301123,0,0.001251,0.003028
1594898189,,User,1,0.301123,0,0.001251,0.003028
5599272951,,User,1,0.269914,0,0.000325,0.000555
1566005577,,User,1,0.308694,0,0.001417,0.002989
7472681333,,User,2,0.336347,0,0.008202,0.018418
357469010,,User,1,1,0,0,0.000111
tayniyuzbek,,Channel,1,1,0,0,0.000111
5264415356,,User,1,0.6,0,0,0.000114
the_yana_poplavskaya,,Channel,3,1,3,0,0.000332
5174088455,,User,1,0.6,0,0,0.000114
851801969,,User,1,0.6,0,0,0.000114
1454440024,,User,1,0.303352,0,0.001062,0.002563
6220365460,,User,1,0.303352,0,0.001062,0.002563
6453028053,,User,2,0.324902,0,0.006741,0.013454
1618197470,,User,2,0.303231,0,0.002043,0.003556
1539068191,,User,2,0.324644,0,0.00693,0.013919
5315024489,,User,1,0.321931,0,0.005679,0.010891
1502012906,,User,1,0.300151,0,0.000938,0.001705
1485041122,,User,2,0.327956,0,0.003443,0.008922
1369478144,,User,2,0.30755,0,0.001882,0.003273
1530967375,,User,1,0.289562,0,0.000662,0.001103
7171139475,,User,1,0.319682,0,0.002523,0.007527
6202339177,,User,1,0.308415,0,0.00103,0.002161
1564156729,,User,1,0.319682,0,0.002523,0.007527
1549687427,,User,1,0.319682,0,0.002523,0.007527
5698209035,,User,1,0.31242,0,0.001171,0.003234
819737408,,User,1,0.303617,0,0.000864,0.002305
1736941282,,User,2,0.305101,0,0.000953,0.00266
723571873,,User,1,0.303617,0,0.000864,0.002305
1544811425,,User,1,0.301123,0,0.001251,0.003028
6659054744,,User,4,0.337985,0,0.010941,0.021345
1575522112,,User,1,0.291929,0,0.000549,0.00138
2105272833,,User,1,0.291929,0,0.000549,0.00138
7514597342,,User,1,0.230505,0,0.000009,0.000257
5777703111,,User,2,0.230617,0,0.000009,0.000515
1597970069,,User,1,0.308694,0,0.001417,0.002989
1683049561,,User,2,0.323527,0,0.00689,0.013302
5602351656,,User,1,0.321931,0,0.005679,0.010891
7501892694,,User,1,0.301008,0,0.000837,0.002479
1580354459,,User,1,0.301123,0,0.001251,0.003028
7321039664,,User,1,0.303617,0,0.000864,0.002305
1443351065,,User,1,0.303617,0,0.000864,0.002305
1539566956,,User,1,0.319682,0,0.002523,0.007527
6029569122,,User,1,0.319682,0,0.002523,0.007527
1972021997,,User,1,0.319682,0,0.002523,0.007527
1956903482,,User,2,0.289059,0,0.000679,0.001838
1736500521,,User,1,0.274695,0,0.000296,0.000913
7521335576,,User,1,0.279986,0,0.000495,0.00073
5063167442,,User,1,0.279986,0,0.000495,0.00073
7341043640,,User,1,0.279986,0,0.000495,0.00073
93084418,,User,1,0.149425,0,0,0.000414
487758418,,User,1,0.149425,0,0,0.000414
1893487957,,User,1,0.301123,0,0.001251,0.003028
1502720218,,User,1,0.27875,0,0.000472,0.000784
