source,target,type
975463121,pjwnews,Reply
975463121,infowarslive,Reply
975463121,pjwnews,Reply
975463121,infowarslive,Reply
975463121,pjwnews,Reply
975463121,pjwnews,Reply
975463121,pjwnews,Reply
975463121,infowarslive,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1607790457,pjwnews,Reply
1278934794,utahfreedomcoalition,Reply
1278934794,utahfreedomcoalition,Reply
1278934794,utahfreedomcoalition,Reply
1518525392,utahfreedomcoalition,Reply
1518525392,utahfreedomcoalition,Reply
1518525392,utahfreedomcoalition,Reply
1472990141,LiveFreeOrDie_au_nz,Reply
1298339657,LiveFreeOrDie_au_nz,Reply
1565096831,LiveFreeOrDie_au_nz,Reply
752317993,lifesitetelegram,Reply
752317993,lifesitetelegram,Reply
752317993,lifesitetelegram,Reply
752317993,lifesitetelegram,Reply
752317993,lifesitetelegram,Reply
752317993,lifesitetelegram,Reply
752317993,lifesitetelegram,Reply
752317993,lifesitetelegram,Reply
752317993,lifesitetelegram,Reply
752317993,lifesitetelegram,Reply
752317993,lifesitetelegram,Reply
752317993,lifesitetelegram,Reply
752317993,lifesitetelegram,Reply
752317993,lifesitetelegram,Reply
752317993,lifesitetelegram,Reply
1465135076,eastcoast_intel,Reply
1574338895,QuebecReveille,Reply
1921847761,QuebecReveille,Reply
6250360398,pjwnews,Reply
6250360398,pjwnews,Reply
5615321797,trooper_channel,Reply
5388416423,ByobluOfficial,Reply
1543750710,ByobluOfficial,Reply
2128100948,ByobluOfficial,Reply
6078368127,QNewsOfficialTV,Reply
6078368127,QNewsOfficialTV,Reply
6078368127,QNewsOfficialTV,Reply
1681057119,QNewsOfficialTV,Reply
1681057119,QNewsOfficialTV,Reply
1681057119,QNewsOfficialTV,Reply
1681057119,QNewsOfficialTV,Reply
1681057119,QNewsOfficialTV,Reply
1681057119,QNewsOfficialTV,Reply
1681057119,QNewsOfficialTV,Reply
1681057119,QNewsOfficialTV,Reply
1681057119,QNewsOfficialTV,Reply
1681057119,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
1505723742,QNewsOfficialTV,Reply
